Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,Media,Media,Media,Media,Media,Media,Media,Media,Media
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,MB1112,MB1112,MB1112,MB1113,MB1113,MB1113,MB1114,MB1114,MB1114,MB1115,MB1115,MB1115,MB1116,MB1116,MB1116,MB1117,MB1117,MB1117,MB1109,MB1109,MB1109,MB1110,MB1110,MB1110,MB1111,MB1111,MB1111
Compound,m/z,Retention time (min),200826_PTY087I2_0umce1_r1,200826_PTY087I2_0umce1_r2,200826_PTY087I2_0umce1_r3,200826_PTY087I2_0umce2_r1,200826_PTY087I2_0umce2_r2,200826_PTY087I2_0umce2_r3,200826_PTY087I2_0umce3_r1,200826_PTY087I2_0umce3_r2,200826_PTY087I2_0umce3_r3,200826_PTY087I2_250umce1_r1,200826_PTY087I2_250umce1_r2,200826_PTY087I2_250umce1_r3,200826_PTY087I2_250umce2_r1,200826_PTY087I2_250umce2_r2,200826_PTY087I2_250umce2_r3,200826_PTY087I2_250umce3_r1,200826_PTY087I2_250umce3_r2,200826_PTY087I2_250umce3_r3,200826_media1_r1,200826_media1_r2,200826_media1_r3,200826_media2_r1,200826_media2_r2,200826_media2_r3,200826_media3_r1,200826_media3_r2,200826_media3_r3
2.65_759.5837m/z,759.5837257000003,2.6526,5.777496338,5.993927002,19.41281988,33.49682617,22.20945039,27.67466736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.65_377.1471m/z,377.1471475,2.6526,1002.889166,1003.147788,1054.495999,1205.211901,1179.1734,1198.556414,900.3398043999997,858.6335918999997,935.4130073,133.1903532,129.9733896,104.7763218,137.6461771,152.4529743,150.6408533,154.7180358,135.1272581,160.2825816,369.1556632,396.2201382,379.6536909,397.7937875,427.2294957,393.2754093,387.2061273,408.5948435,372.9287821
2.65_1029.4199m/z,1029.419947,2.6526,21.96765149,28.67968572,41.77872828,16.59210205,16.16764314,7.571797477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.65_801.2748m/z,801.2748378,2.6526,298.5577099,359.9929534,307.5480261,151.3863133,150.8818786,168.66139819999995,484.7039212,466.9365423,485.4582393,318.0363464,302.9439588,280.25452110000003,335.4065687,315.6116812,287.8991264,317.0896905,261.5465694,272.6746568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.65_789.2845m/z,789.2845198,2.6526,62.88745105,75.84753683,69.21497414,41.0354245,25.66868992,21.49887085,81.55290869,75.64834533,99.46427674,35.01684258,30.72009026,31.19150513,20.28361641,29.26779175,16.25492624,23.86322033,18.66586316,22.802034,0.0,0.0,0.0,0.000165041,0.0,0.0,0.0,0.0,0.0
2.65_394.8434m/z,394.8433605,2.6526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.8289443,228.2850846,240.2840129,94.99473194,110.4506693,103.7478989,235.5022693,235.0876545,247.2199321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.65_328.7010m/z,328.7009629,2.6526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.935241759,4.372938794,2.239456268,0.0,4.410385132,2.278671265,6.119040142,4.2000122069999986
4.77_240.1117n,241.1189378,4.7723833330000005,754.2037757,770.798672,799.75887,1731.884541,1731.670559,1730.068416,2497.648995,2477.734617,2536.2003210000007,23394.87828,22967.09022,22514.36629,24948.48523,25283.85281,24618.76972,18710.63159,17803.83436,18236.97097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.62_336.0644n,695.1526435,4.623133333,96.60823626,106.9240747,112.2448582,73.47597590000002,51.47774416,66.45933972,79.09710487,86.05821015,70.05735745,177.7005493,171.9742053,144.5485082,145.2566611,149.6124616,145.3687413,156.4623594,118.2249373,133.62664420000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.62_1136.3292m/z,1136.3291769999996,4.623133333,988.9147690399997,945.9898136899997,982.2835245,476.2186502,456.553732954,454.47708192199997,687.2227286300003,701.9805016099997,676.10017849,2637.9043995,2522.9335541,2220.0726106,2025.8181452999997,2068.7738191,1959.6635041,1769.9934233,1653.7175584,1679.5963829999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
