Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,-logq,logfc
0.80_1112.3143m/z,1112.31431,0.7956333329999999,0.3143099999999777,True,True,0.25301839329193915,0.15440907894249406,True,True, 0um_Ce 250um_Ce Media,5.046570116022503,22.675497366666665,1.355556821695964,4.282116907589491,3.580780169974365,2.3353031982082135
0.94_295.5751m/z,295.5750626,0.944883333,0.5750626000000238,True,True,0.20955681029038425,0.1357808771347001,True,True, 0um_Ce 250um_Ce Media,0.5520792062288219,38.68268332222222,1.5875165923916916,1.4751472897641045,1.3134487203002818,-0.8570528310795579
2.48_242.1174m/z,242.1174321,2.481916667,0.11743210000000205,True,True,0.3044761570849112,0.1049889345126191,True,True, 0um_Ce 250um_Ce Media,7.630914134073138,32.956808556666665,1.5179451492224016,3.321361549542297,2.8303301715139537,2.931855892931106
3.43_341.0687m/z,341.0686759,3.428016667,0.06867590000001655,True,True,0.217420842628614,0.08843844689692583,True,True, 0um_Ce 250um_Ce,100.0,43.465651037777775,1.6381461889651512,1.3812397782020158,1.234941525709879,6.643856189774724
0.83_637.2784m/z,637.2783567,0.831333333,0.27835670000001755,True,True,1.049241191862074,1.7320508075688772,False,True, 0um_Ce 250um_Ce Media cv,0.024500493602830426,19.776509593333333,1.2961496442825735,4.991935355498034,,-5.351045374784341
4.12_1574.3497m/z,1574.349691,4.118116667,0.3496909999998934,True,True,0.3189482756784463,0.08839739303173419,True,False, 0um_Ce 250um_Ce insource,100.0,1044.9577478555557,3.019098730404816,0.4872594365147394,,6.643856189774724
2.15_467.2272m/z,467.2272243,2.147433333,0.2272242999999889,True,True,0.4210958374941829,0.33841183711294365,False,False, 0um_Ce 250um_Ce Media cv insource,0.01855363499825399,310.47840253333334,2.4920313952152644,6.503224419506633,,-5.752154324750527
2.52_261.1270m/z,261.1270262,2.524766667,0.12702619999998888,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,0.2652567043549029,542.9437507222223,2.7347548387668903,7.1702162871632895,,-1.9145388792144826
2.05_370.1869m/z,370.1868897,2.054583333,0.18688969999999472,False,True,,,True,True, relfil,,,,,,
0.94_318.0701m/z,318.0701392,0.93775,0.07013920000002828,True,True,0.3608803330314748,0.3426580852841465,False,True, 0um_Ce 250um_Ce cv,100.0,6.813261798222222,0.8333550769386422,1.6938559310484984,,6.643856189774724
0.62_178.1125m/z,178.1124783,0.6178,0.11247829999999226,True,True,0.9379568939438928,1.0684015882503208,False,False, 0um_Ce Media cv insource,0.017466941941267515,84.57530987333331,1.9272435976634728,6.130890231939629,,-5.839229142043912
3.44_507.1497m/z,507.1496756,3.43515,0.14967560000002322,True,True,0.4703897984599529,0.29636808712089563,False,True, 0um_Ce 250um_Ce cv,100.0,46.408075942222226,1.6665935631400501,0.8614036050955892,,6.643856189774724
2.16_506.2526m/z,506.25261330000006,2.161716667,0.2526133000000641,True,True,0.7107993251883421,0.5983496833192828,False,False, 250um_Ce Media cv insource,0.01,157.71872284444444,2.197883251638213,5.39721730427609,,-6.643856189774724
1.89_376.1838m/z,376.1837674,1.89105,0.183767400000022,True,True,0.3711146237077736,0.3572658559165577,False,True, 0um_Ce 250um_Ce Media cv,0.03358457423648978,116.31576132222222,2.0656385676216504,6.305886133051968,,-4.896057450301744
2.78_419.1338m/z,419.1338191,2.780433333,0.13381909999998245,True,True,0.4196722247563912,0.4012350896666306,False,True, 0um_Ce 250um_Ce Media cv,4.99790094769108,30.26831371,1.4809882264788217,1.1529901088814216,,2.32132230924956
3.73_609.5684m/z,609.5684102000001,3.726533333,0.5684102000001303,True,True,0.111206554576351,0.09486141517769857,True,False, 250um_Ce insource,,30.391489501222225,1.4827519855787694,,,
2.70_343.1985m/z,343.1985062,2.701883333,0.19850619999999708,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,0.15626569172699828,193.6557256,2.2870303418060987,7.346624850134223,,-2.6779270267763384
0.76_718.1863m/z,718.1862629999997,0.759916667,0.1862629999998262,True,True,0.3559786579049057,0.21171967151956025,False,True, 0um_Ce Media cv,0.03578981496166581,19.649331007777775,1.2933477687279122,2.999897369453915,,-4.804307104935689
3.38_472.2566m/z,472.2565725,3.3780333330000003,0.2565725000000043,True,True,0.3130220480393799,0.30307256196009474,False,True, 0um_Ce 250um_Ce Media cv,1.7651400391043277,20.436525227777786,1.3104070557147878,1.0731481912022145,,0.8197826456533174
0.94_235.0609m/z,235.060855,0.93775,0.06085500000000365,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,0.5002401666650452,78.66864267777778,1.8958016570632887,3.6262630342578053,,-0.9993071918628075
5.15_413.1233m/z,413.1233412,5.14945,0.12334120000002713,True,True,0.1896781513484316,0.15569754638899233,True,True, 0um_Ce 250um_Ce,100.0,38.006975444444436,1.5798633102752433,1.0993239688872714,0.9892343533178904,6.643856189774724
0.77_109.0294m/z,109.0294059,0.767066667,0.029405900000000432,True,True,0.11911034518171405,0.10931586585222268,True,False, 0um_Ce 250um_Ce Media insource,5.879548576225942,48.53776775144446,1.6860797992822345,4.176487669663908,,2.555705391143064
2.55_304.0867m/z,304.08667369999995,2.545483333,0.0866736999999489,True,True,0.3914535003984797,0.2973644477706279,False,True, 0um_Ce 250um_Ce Media cv,0.6693960696115778,64.07075842666667,1.806659864909088,0.39143373107031504,,-0.5790680146853462
8.99_851.6063m/z,851.6063353,8.990616667000001,0.6063352999999552,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,0.13838362926039066,469.89307940000015,2.6719990487673138,1.5272737170516408,,-2.8532548121858103
8.50_1531.6457m/z,1531.645662,8.499883333,0.6456619999999019,True,True,0.7306371033066412,0.5434231797919804,False,True, Media cv,0.01,3705.253809044445,3.568817962407677,1.2126050201435343,,-6.643856189774724
2.06_438.2241m/z,438.2241346,2.0617333330000003,0.2241346000000135,True,True,0.6319523687527274,0.6913048270918056,False,False, 250um_Ce Media cv insource,0.01,249.2405598444444,2.396618718096605,8.27296785963094,,-6.643856189774724
8.39_767.5547m/z,767.5546684,8.385616667,0.5546683999999686,False,True,,,True,True, relfil,,,,,,
0.84_302.1603n,303.1676139,0.838483333,0.1676138999999921,True,True,0.8226309215172245,0.2897644137323713,False,False, 250um_Ce Media cv insource,0.01,24.145004185555553,1.3828272850216634,6.987501353054638,,-6.643856189774724
0.94_136.0392n,137.04646699999998,0.93775,0.0464669999999785,True,True,0.23006825268776784,0.11981380945983247,True,False, 0um_Ce 250um_Ce Media insource,0.18715870135156265,40.15164026666667,1.6037032916872134,5.909883706621917,,-2.4176659715496815
0.68_331.1551m/z,331.1551388000001,0.6820666670000001,0.1551388000000884,True,True,0.6570008914458638,0.5299854192988633,False,True, 0um_Ce Media cv,0.06576526621960274,22.725123498888887,1.3565062520585915,3.850529954498176,,-3.926530360878208
0.66_272.1436m/z,272.1435939,0.66065,0.14359389999998484,True,True,0.6970530579452652,0.5161002664109906,False,True, 0um_Ce 250um_Ce Media cv,0.02166126871792215,80.59128229999997,1.9062880659518733,4.527829067787021,,-5.52873844454546
3.46_669.3538m/z,669.3537888,3.456583333,0.3537887999999612,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,1.7038175851518758,395.3312154,2.5969611076410684,1.2389398727780758,,0.768770885397069
