,,,,average
0.63_270.1403n,293.1526664,0.632083333,Blanks,0.0
0.63_270.1403n,293.1526664,0.632083333,Media,74.48134836666668
0.63_280.1518m/z,280.15181160000003,0.632083333,0um_Ce,0.0
0.63_280.1518m/z,280.15181160000003,0.632083333,250um_Ce,0.0
0.63_280.1518m/z,280.15181160000003,0.632083333,Blanks,0.0
0.63_280.1518m/z,280.15181160000003,0.632083333,Media,11.373995734555557
0.63_283.9593m/z,283.9592837,0.632083333,0um_Ce,0.0
0.63_283.9593m/z,283.9592837,0.632083333,250um_Ce,39.785867498888884
0.63_283.9593m/z,283.9592837,0.632083333,Blanks,0.0
0.63_283.9593m/z,283.9592837,0.632083333,Media,0.0
0.63_311.9542m/z,311.9542302,0.632083333,0um_Ce,0.0
0.63_311.9542m/z,311.9542302,0.632083333,250um_Ce,2116.0287894444446
0.63_311.9542m/z,311.9542302,0.632083333,Blanks,0.0
0.63_311.9542m/z,311.9542302,0.632083333,Media,0.0
0.64_102.0344m/z,102.0344068,0.639233333,0um_Ce,2286.769148111111
0.64_102.0344m/z,102.0344068,0.639233333,250um_Ce,2209.0242235555556
0.64_102.0344m/z,102.0344068,0.639233333,Blanks,1601.3530816666669
0.64_102.0344m/z,102.0344068,0.639233333,Media,2176.5087722222224
0.64_110.9997n,112.0069839,0.639233333,0um_Ce,41.79933471555555
0.64_110.9997n,112.0069839,0.639233333,250um_Ce,53.68845896888889
0.64_110.9997n,112.0069839,0.639233333,Blanks,0.333332152
0.64_110.9997n,112.0069839,0.639233333,Media,74.17191567555555
0.64_151.0360m/z,151.03601819999997,0.639233333,0um_Ce,1580.8748654444446
0.64_151.0360m/z,151.03601819999997,0.639233333,250um_Ce,1752.3731571111114
0.64_151.0360m/z,151.03601819999997,0.639233333,Blanks,13.143344556666667
0.64_151.0360m/z,151.03601819999997,0.639233333,Media,2634.022132888889
0.64_161.5051m/z,161.5051274,0.639233333,0um_Ce,0.0
0.64_161.5051m/z,161.5051274,0.639233333,250um_Ce,49.522810109999995
0.64_161.5051m/z,161.5051274,0.639233333,Blanks,0.0
0.64_161.5051m/z,161.5051274,0.639233333,Media,0.0
0.64_177.7884m/z,177.7884113,0.639233333,0um_Ce,17.34086729111111
0.64_177.7884m/z,177.7884113,0.639233333,250um_Ce,18.761581122222225
0.64_177.7884m/z,177.7884113,0.639233333,Blanks,0.0
0.64_177.7884m/z,177.7884113,0.639233333,Media,5.109260137555555
0.64_185.4569m/z,185.45693380000003,0.639233333,0um_Ce,0.0
0.64_185.4569m/z,185.45693380000003,0.639233333,250um_Ce,81.10888226888888
0.64_185.4569m/z,185.45693380000003,0.639233333,Blanks,0.0
0.64_185.4569m/z,185.45693380000003,0.639233333,Media,0.0
0.64_190.4682m/z,190.4681955,0.639233333,0um_Ce,9.878818276555556
0.64_190.4682m/z,190.4681955,0.639233333,250um_Ce,80.20307212
0.64_190.4682m/z,190.4681955,0.639233333,Blanks,0.0
0.64_190.4682m/z,190.4681955,0.639233333,Media,23.181151125555555
0.64_198.4570m/z,198.4569988,0.639233333,0um_Ce,0.7651723192222223
0.64_198.4570m/z,198.4569988,0.639233333,250um_Ce,84.70593830366668
0.64_198.4570m/z,198.4569988,0.639233333,Blanks,0.0
0.64_198.4570m/z,198.4569988,0.639233333,Media,133.39036084444444
0.64_200.1062m/z,200.1062305,0.639233333,0um_Ce,7.6629007455555564
0.64_200.1062m/z,200.1062305,0.639233333,250um_Ce,0.7765986091111111
0.64_200.1062m/z,200.1062305,0.639233333,Blanks,0.0
0.64_200.1062m/z,200.1062305,0.639233333,Media,47.439369503333324
0.64_209.6270m/z,209.626999,0.639233333,0um_Ce,1.0661476983333333
0.64_209.6270m/z,209.626999,0.639233333,250um_Ce,0.0
0.64_209.6270m/z,209.626999,0.639233333,Blanks,0.0
0.64_209.6270m/z,209.626999,0.639233333,Media,66.29653482333333
0.64_257.9271m/z,257.9271136,0.639233333,0um_Ce,0.0
0.64_257.9271m/z,257.9271136,0.639233333,250um_Ce,111.81174230333333
0.64_257.9271m/z,257.9271136,0.639233333,Blanks,0.0
0.64_257.9271m/z,257.9271136,0.639233333,Media,0.0
0.64_259.6555m/z,259.6554926,0.639233333,0um_Ce,0.0
0.64_259.6555m/z,259.6554926,0.639233333,250um_Ce,0.0
0.64_259.6555m/z,259.6554926,0.639233333,Blanks,0.0
0.64_259.6555m/z,259.6554926,0.639233333,Media,25.615777069999996
0.64_270.9272m/z,270.927202,0.639233333,0um_Ce,1.1400505395555554
0.64_270.9272m/z,270.927202,0.639233333,250um_Ce,3335.0358848077776
0.64_270.9272m/z,270.927202,0.639233333,Blanks,0.0
0.64_270.9272m/z,270.927202,0.639233333,Media,0.5838037045555555
