,,,0um_Ce,0um_Ce,0um_Ce,250um_Ce,250um_Ce,250um_Ce,Media,Media,Media
,,,,,,,,,,,
Compound,m/z,Retention time (min),MB1112,MB1113,MB1114,MB1115,MB1116,MB1117,MB1109,MB1110,MB1111
0.71_1126.7768m/z,1126.776766,0.7099333329999999,28.508826536666664,29.831543049999997,34.437898876666665,28.669650899999997,30.784116033333333,30.02471226333333,12.978136096666667,18.691114836666667,15.738968250000001
0.71_1152.7716m/z,1152.771633,0.7099333329999999,42.12568818666667,38.78683099666667,42.32895731666667,41.61673517666667,40.61132108,42.41328785333334,5.6991170643333335,4.195798918,5.146328660333334
0.71_1178.7797m/z,1178.779669,0.7099333329999999,63.68465071333333,54.57507973666666,59.18935345333333,55.737343943333336,47.69679790666667,56.23543586666667,8.618143718,8.992675743333333,9.225545247666666
0.71_1186.7652m/z,1186.765214,0.7099333329999999,28.25796504,25.392068863333332,30.08556738333333,22.80787715,18.563557983333336,24.753130563333333,2.316670735666667,2.141475521,0.0
0.71_189.1604m/z,189.1604312,0.7099333329999999,39.50072408,40.18049981666667,39.81670756333333,33.075673810000005,33.36303413666666,29.634259049999997,16.735895146666664,18.72241079666667,17.19382744
0.71_532.8971m/z,532.8971061999998,0.7099333329999999,74.28215914666667,67.86491536999999,74.73936666,62.220395126666666,60.91202136333333,61.69077815333333,35.93561283666667,37.06275747,34.625825066666664
0.71_540.8879m/z,540.8879091,0.7099333329999999,79.96221785666667,81.39351667333334,82.81047968666667,74.90678548999999,75.49781870666668,75.27263887333332,54.08813866666667,55.64891144333333,51.50115734
0.71_574.8784m/z,574.8784344,0.7099333329999999,60.053684280000006,57.153023366666666,60.47376442666667,57.67889664333333,58.76694794666667,54.76213746333334,42.77210517666666,40.46574781,40.05395856333333
0.71_616.9390m/z,616.9389937000002,0.7099333329999999,9.135165873666667,8.908596845666667,10.590984423333332,9.739619964333334,9.265379574666666,9.207349278,37.21943824666666,33.48039429333333,31.072178796666666
0.71_650.8516m/z,650.8516097999999,0.7099333329999999,179.90632456666665,184.51134626666666,174.13701873333335,182.52165493333334,187.96271349999998,187.8811870333333,168.1543904,173.43279629999998,161.35895316666665
0.71_684.8499m/z,684.8499028,0.7099333329999999,65.66378857,54.01190563333333,52.965480850000006,68.89564847999999,67.86594395333334,66.07431774999999,66.23067825666668,51.64269728666667,52.767009443333336
0.71_718.8389m/z,718.8389324,0.7099333329999999,229.59647833333335,217.98461046666668,206.2459577333333,211.68966163333334,220.9091472,217.14971363333333,199.0002358,190.6544491,185.15462586666663
0.71_786.8272m/z,786.8271744,0.7099333329999999,137.47753883333334,129.96906786666668,125.84700716666667,134.06384883333337,132.42329656666666,128.40256129999997,118.70820433333334,115.95563756666667,106.73953625999998
0.71_854.8144m/z,854.8144114,0.7099333329999999,117.31208979999998,120.60100596666666,118.7152507,119.408888,122.30940996666668,121.6626912,93.01521848666668,103.44285933333333,95.31732738
0.71_914.8139m/z,914.8139386,0.7099333329999999,123.4148371,110.76040813333333,95.79685751000001,105.80928225666666,107.93458741,104.50160541999999,47.88190397333333,43.58303777333333,36.69190626333333
0.71_922.8026m/z,922.802574,0.7099333329999999,93.19342075000002,83.59711895666668,82.85245478333333,79.33838235666666,91.98820376666667,89.13156954666665,71.61728010666667,74.66129421,69.12769865666667
0.71_982.8021m/z,982.8021226,0.7099333329999999,85.07140912,77.72638034333333,82.98640672333333,77.06548001666667,69.45870889999999,76.73856638666666,24.16874899,20.53002186,20.696897633333332
0.71_990.7902m/z,990.7902072,0.7099333329999999,64.78188772,60.17685456666667,59.58378223,61.9014406,63.508265513333335,61.76278253666667,39.62772077666666,42.59910234,41.97352555333334
0.72_1024.7799m/z,1024.779904,0.7170833329999999,28.362049473333332,30.936193533333334,31.248231086666667,27.268264226666663,26.095129743333334,32.683643323333335,13.394954230333335,15.099262849999997,10.231470811
0.72_174.9388m/z,174.9387821,0.724216667,19.023472046666665,20.429400679999997,20.532854373333333,18.96976683,19.54539344666667,20.483593106666664,20.122539316666664,22.18942613,20.997092206666668
0.72_196.0944n,219.0835768,0.724216667,0.0,1.0305760700000002,0.0,0.0,0.0,0.0,263.40154386666666,277.3319899333333,272.0971063
0.72_242.9262m/z,242.9262493,0.7170833329999999,434.60685086666666,441.7914174,422.3390881333333,456.0640876,464.0830059,463.72919613333335,441.0195111333333,467.1410497,444.6181412
0.72_258.9007m/z,258.9007185,0.724216667,12.656856793000001,11.333201400999998,14.243435086666665,16.79177857,14.240756216666668,14.2615261,21.259872939999997,24.274816973333333,21.151337299999998
0.72_271.9508n,566.8903117000001,0.7170833329999999,2045.8710923333335,1932.230413,1988.6760496666666,1900.8244849999999,1786.4193893333334,1876.0232859999999,1151.261099,1162.1268549999998,1108.038213
0.72_310.9141m/z,310.9140814,0.7170833329999999,70.43491953666667,74.73904041666667,71.48413858333333,71.06263873666667,71.97791842666668,71.21887685333333,75.24009910333332,83.74293157,76.35516963333333
0.72_378.9015m/z,378.9014798,0.7170833329999999,196.98650846666666,198.4770566666667,192.234906,201.39373386666668,202.6447105666667,185.67777563333334,192.15952303333333,208.86350056666666,194.38293653333335
0.72_446.8889m/z,446.8889275,0.7170833329999999,206.96880776666669,208.20147233333333,211.27202596666666,217.28214160000002,216.21189726666663,210.4703698333333,218.86169489999997,224.24804989999998,214.41528853333332
0.72_514.8768m/z,514.8768268,0.7170833329999999,168.8389102,166.44496550000005,165.5021083,174.34305319999999,178.2048434666667,171.23848793333332,173.60480233333337,171.33326316666668,162.95798556666668
0.72_530.8555m/z,530.8554655,0.724216667,27.481361453333335,24.769964153333333,25.147219356666668,26.66181401333333,28.953738416666667,24.94834699333333,23.359165243333333,20.321073283333334,20.52234568
