Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,p,qval,-logq
0.68_356.9108m/z,356.9107725,0.6820666670000001,0.9107725000000072,True,True,0.1294911002820088,0.13206863671437236,True,True, 0um_Ce 250um_Ce Media,1.1325493386456122,32.570217756666665,1.5128206621633562,0.5371821223829226,0.2902805101241166,0.314556029816475,0.50230198528132
0.78_114.0669m/z,114.06686850000001,0.78135,0.06686849999999822,True,True,0.1279970814503248,0.11987701712071905,True,True, 0um_Ce 250um_Ce Media,0.8687362633798014,13.87121290222222,1.1421144375485306,0.5396402778981396,0.2886421309332077,0.31314948167281964,0.5042483028092982
0.72_530.8555m/z,530.8554655,0.724216667,0.8554655000000366,True,True,0.16112887806916787,0.1754945369309864,True,True, 0um_Ce 250um_Ce Media,1.20553628673558,26.854633141111112,1.4290192238915842,0.5410946564526826,0.2876771341035962,0.31247103113967944,0.5051902394378343
0.94_186.0565m/z,186.0564996,0.93775,0.0564995999999951,True,True,0.06693633899749837,0.07234140696305741,True,True, 0um_Ce 250um_Ce Media,0.922627070094788,77.84751158722223,1.8912447348076669,0.5411553808070015,0.28763691303765815,0.31247103113967944,0.5051902394378343
0.92_542.6624m/z,542.6624271000002,0.916316667,0.6624271000001727,True,True,0.02037324529682983,0.0195067293933184,True,True, 0um_Ce 250um_Ce Media,1.021181247819619,1662.167681777778,3.220674833886976,0.5467960395500547,0.28392521312221675,0.3091256758253721,0.5098649211541918
3.36_180.1025m/z,180.1025281,3.3573,0.10252810000000068,True,True,0.07269521184607823,0.05699830114384884,True,True, 0um_Ce 250um_Ce Media,0.9173395779595784,33.397196595555556,1.5237100130936383,0.5513811646188567,0.2809434009033161,0.30624162183773795,0.5139357838989563
0.84_311.2008m/z,311.2007844,0.838483333,0.200784399999975,True,True,0.06013431294778775,0.05307064363707882,True,True, 0um_Ce 250um_Ce Media,0.7395607220019168,1038.924203888889,3.0165838641755043,0.5568158093176294,0.2774496559988473,0.30279203264405635,0.5188555565968165
1.83_435.2102m/z,435.2102169,1.8274833330000002,0.2102168999999776,True,True,0.09778024901540017,0.09815971022348388,True,True, 0um_Ce 250um_Ce Media,1.1722843377336492,70.36204803666668,1.847338472031561,0.5595744833426829,0.27569285868713367,0.3012321021284596,0.5210987474967771
0.84_355.1621m/z,355.16212939999997,0.838483333,0.16212940000002618,True,True,0.08920472518855832,0.07923047484102733,True,True, 0um_Ce 250um_Ce Media,1.1352715833378877,29.630759611111113,1.4717427851515104,0.5660017084366147,0.27164285828751256,0.297159844975638,0.5270098768889716
0.84_226.0752m/z,226.0751829,0.838483333,0.07518289999998727,True,True,0.06997951759323089,0.0694627071539452,True,True, 0um_Ce 250um_Ce Media,0.9379470210067784,47.92639516222222,1.6805747642717526,0.5712579953558408,0.26837496737182054,0.2939344880738987,0.5317494540721671
4.11_1776.4112n,1777.418455,4.110983333,0.4184549999999945,True,True,0.0497515658650837,0.054462423748081454,True,True, 0um_Ce 250um_Ce,100.0,6456.491456388889,3.809996580678446,0.5802316328818882,0.26288655008794365,0.2882665388330252,0.5402057663650331
0.83_590.2566n,613.2654507,0.831333333,0.26545069999997395,True,True,0.11753864526059125,0.07346419679396149,True,True, 0um_Ce 250um_Ce Media,1.1645034697278245,105.16562143666664,2.0218737924749712,0.5810170322937201,0.2624115627997692,0.28808906655821914,0.5404732235784414
2.83_219.1126m/z,219.1126019,2.830716667,0.11260189999998715,True,True,0.06971152227837554,0.0661385888194851,True,True, 0um_Ce 250um_Ce Media,1.0866879522798891,36.35664272444443,1.5605837724166514,0.5925803437138669,0.2555169155545718,0.280854913154368,0.5515179743615717
3.29_189.0576n,401.0877662,3.2859,0.08776619999997592,True,True,0.1436039761090466,0.13570912167137414,True,True, 0um_Ce 250um_Ce,100.0,43.29486701222223,1.6364364099697704,0.6010477993501663,0.2505833440635723,0.2757615748068021,0.5594662494436273
3.35_284.1404m/z,284.14038769999996,3.350166667,0.14038770000001932,True,True,0.1264430708350412,0.1185088313870038,True,True, 0um_Ce 250um_Ce Media,0.8734736112051893,28.659277835555557,1.4572652427261998,0.6015467510047333,0.25029561952349133,0.2757615748068021,0.5594662494436273
0.80_273.0894m/z,273.08940939999997,0.802766667,0.08940940000002229,True,True,0.08807873287461385,0.08627730161489656,True,True, 0um_Ce 250um_Ce Media,0.8998719757929221,35.63001433444445,1.5518159970736896,0.6044383861791521,0.2486346279803253,0.27427321072170174,0.5618166094713356
3.10_341.0640m/z,341.0640246000001,3.100933333,0.06402460000009569,True,True,0.4292789464502931,0.1243014452349231,True,True, 0um_Ce 250um_Ce,100.0,42.998902414444466,1.6334573699648445,0.6081330712686414,0.24652838390028944,0.27227624632444936,0.5649902453298736
0.72_446.8889m/z,446.8889275,0.7170833329999999,0.8889275000000225,True,True,0.042567178608534935,0.03392726404158426,True,True, 0um_Ce 250um_Ce Media,0.9527276899115276,219.1750111111111,2.3407910372430014,0.6120667559888895,0.2443054998561789,0.27014550464865933,0.5684022549340582
2.67_736.3245m/z,736.3244587,2.674033333,0.3244587000000365,True,True,0.1190932916406322,0.14295532271811015,True,True, 0um_Ce,100.0,372.7720624655556,2.5714433565475656,0.6123565282849696,0.24414254739786376,0.27014550464865933,0.5684022549340582
2.23_211.1082m/z,211.1081662,2.232416667,0.10816619999999944,True,True,0.08820537637761355,0.08015034034197538,True,True, 0um_Ce 250um_Ce Media,0.8884670254361898,31.89743216222222,1.503755722472088,0.6170057159092858,0.2415429043886386,0.2677343036596958,0.5722959809398044
2.65_763.3325m/z,763.3325087999997,2.6526,0.33250879999980043,True,True,0.18179978871773456,0.16914375715548507,True,True, 0um_Ce 250um_Ce,100.0,261.2647848755556,2.417080876375321,0.6181711304143691,0.24089560109773567,0.2673389059226982,0.5729378336190873
0.80_574.1786m/z,574.1785866,0.7956333329999999,0.17858660000001692,True,True,0.0430618033086824,0.034130391645681005,True,True, 0um_Ce 250um_Ce Media,0.8392937651220833,1058.1111607514445,3.024531295265333,0.6182046670884098,0.2408769996057334,0.2673389059226982,0.5729378336190873
5.51_386.1866n,387.1938809,5.505516667,0.1938809000000105,True,True,0.08970466530548292,0.0702136585190796,True,True, 0um_Ce 250um_Ce Media,0.8146905158541902,120.74408874444444,2.0818658782350647,0.6216027722603364,0.23899962952165565,0.265876250495675,0.5753204544673278
3.27_292.0659m/z,292.0659196000001,3.271616667,0.06591960000008612,True,True,0.23293492061165744,0.13793577503837862,True,True, 0um_Ce 250um_Ce,100.0,55.023479712222226,1.7405480519211778,0.6219308476201337,0.2388191522558523,0.265876250495675,0.5753204544673278
3.04_186.5897m/z,186.5896759,3.0364,0.5896759000000031,True,True,0.05783359134771018,0.05374768391059898,True,True, 0um_Ce 250um_Ce Media,0.9346343438773592,79.09635101666667,1.898156448480228,0.6315954405038302,0.23356327674358665,0.2604584419443633,0.5842615617082001
2.43_774.8182m/z,774.8182142,2.431933333,0.8182142000000567,True,True,0.21523218313852094,0.1058341752780487,True,True, 0um_Ce 250um_Ce,100.0,170.68571644444444,2.2321971794105293,0.6342939051338571,0.23211654355502453,0.25915924765852255,0.5864332894854176
0.72_310.9141m/z,310.9140814,0.7170833329999999,0.9140813999999864,True,True,0.07172109570447935,0.06315694123328842,True,True, 0um_Ce 250um_Ce Media,0.9206244385923829,78.44606676888887,1.8945711732462136,0.6411651563123383,0.22847297863392857,0.25540114257984725,0.5927771641790528
2.48_175.0634m/z,175.06335990000005,2.4819166669999997,0.06335990000005154,True,True,0.09741317465385953,0.09360165295169276,True,True, 0um_Ce 250um_Ce Media,1.1262076759529758,45.336476998888884,1.6564477690020545,0.6438963624331063,0.22704065841669194,0.25410876611113936,0.5949803526276015
2.71_354.6479m/z,354.6478754,2.7090333330000003,0.6478753999999753,True,True,0.5536868133611477,0.16073412117190294,True,True, 250um_Ce Media,0.01,78.10889770333334,1.892700508952284,0.6542709397487795,0.22168130033051578,0.24841266297694825,0.604826269522665
0.72_708.8088m/z,708.8088325,0.724216667,0.8088324999999941,True,True,0.08166522222264604,0.07337172348082895,True,True, 0um_Ce 250um_Ce Media,1.1130691674423103,46.07766543333333,1.6634904670491542,0.6554460721846449,0.22108227645992565,0.24804352968674584,0.6054720972228064
5.29_579.1480m/z,579.1480312000001,5.291816667,0.14803120000010495,True,True,0.29878610425133123,0.1632209096768935,True,True, 0um_Ce 250um_Ce,100.0,101.10577510555555,2.004775962958393,0.6598397993711804,0.21885687846488522,0.24584655456372942,0.6093358737860436
